,district,name,538_democrat_wins,538_diff_from_even,cook_name,cook_pvi_rating,cook_category
7,AL-07,Terri A. Sewell,100.0,50.0,Terri Sewell,20.0,SOLID_DEMOCRATIC
421,WA-09,Adam Smith,100.0,50.0,Adam Smith,21.0,SOLID_DEMOCRATIC
275,NY-05,Gregory W. Meeks,100.0,50.0,Gregory Meeks,37.0,SOLID_DEMOCRATIC
424,WI-02,Mark Pocan,100.0,50.0,Mark Pocan,18.0,SOLID_DEMOCRATIC
249,NE-03,Adrian Smith,0.0,50.0,Adrian Smith,-27.0,SOLID_REPUBLICAN
182,MA-04,Joseph P. Kennedy III,100.0,50.0,Joseph Kennedy,9.0,SOLID_DEMOCRATIC
357,TN-06,Open seat,0.0,50.0,Open seat,-24.0,SOLID_REPUBLICAN
179,MA-01,Richard E. Neal,100.0,50.0,Richard Neal,12.0,SOLID_DEMOCRATIC
352,TN-01,Phil Roe,0.0,50.0,David Roe,-28.0,SOLID_REPUBLICAN
107,FL-21,Lois Frankel,100.0,50.0,Lois Frankel,9.0,SOLID_DEMOCRATIC
361,TX-01,Louie Gohmert,0.0,50.0,Louie Gohmert,-25.0,SOLID_REPUBLICAN
96,FL-10,Val Demings,100.0,50.0,Val Demings,11.0,SOLID_DEMOCRATIC
110,FL-24,Frederica Wilson,100.0,50.0,Frederica Wilson,34.0,SOLID_DEMOCRATIC
364,TX-04,John Ratcliffe,0.0,50.0,John Ratcliffe,-28.0,SOLID_REPUBLICAN
368,TX-08,Kevin Brady,0.0,50.0,Kevin Brady,-28.0,SOLID_REPUBLICAN
369,TX-09,Al Green,100.0,50.0,Al Green,29.0,SOLID_DEMOCRATIC
341,PA-18,Mike Doyle,100.0,50.0,Michael Doyle,13.0,SOLID_DEMOCRATIC
371,TX-11,K. Michael Conaway,0.0,50.0,Mike Conaway,-32.0,SOLID_REPUBLICAN
373,TX-13,Mac Thornberry,0.0,50.0,Mac Thornberry,-33.0,SOLID_REPUBLICAN
118,GA-05,John Lewis,100.0,50.0,John Lewis,34.0,SOLID_DEMOCRATIC
403,VA-03,Robert C. Scott,100.0,50.0,Bobby Scott,16.0,SOLID_DEMOCRATIC
121,GA-08,Austin Scott,0.0,50.0,Austin Scott,-15.0,SOLID_REPUBLICAN
379,TX-19,Jodey Arrington,0.0,50.0,Jodey Arrington,-27.0,SOLID_REPUBLICAN
127,GA-14,Tom Graves,0.0,50.0,Tom Graves,-27.0,SOLID_REPUBLICAN
64,CA-44,Nanette Diaz Barragán,100.0,50.0,Nanette Barragan,35.0,SOLID_DEMOCRATIC
321,OR-03,Earl Blumenauer,100.0,50.0,Earl Blumenauer,24.0,SOLID_DEMOCRATIC
