,district,name,538_democrat_wins,538_diff_from_even,cook_name,cook_pvi_rating,cook_category
137,IL-02,Robin Kelly,99.0,49.0,Robin Kelly,29.0,SOLID_DEMOCRATIC
360,TN-09,Steve Cohen,99.0,49.0,Steve Cohen,28.0,SOLID_DEMOCRATIC
419,WA-07,Pramila Jayapal,99.0,49.0,Pramila Jayapal,33.0,SOLID_DEMOCRATIC
49,CA-29,Tony Cárdenas,99.0,49.0,Tony Cárdenas,29.0,SOLID_DEMOCRATIC
261,NJ-10,Donald Payne Jr.,99.0,49.0,Donald Payne,36.0,SOLID_DEMOCRATIC
260,NJ-09,Bill Pascrell Jr.,99.0,49.0,Bill Pascrell,16.0,SOLID_DEMOCRATIC
259,NJ-08,Albio Sires,99.0,49.0,Albio Sires,27.0,SOLID_DEMOCRATIC
48,CA-28,Adam Schiff,99.0,49.0,Adam Schiff,23.0,SOLID_DEMOCRATIC
349,SC-06,James E. Clyburn,99.0,49.0,James Clyburn,20.0,SOLID_DEMOCRATIC
408,VA-08,Don Beyer,99.0,49.0,Rep. Don Beyer,21.0,SOLID_DEMOCRATIC
31,CA-11,Mark DeSaulnier,99.0,49.0,Mark DeSaulnier,21.0,SOLID_DEMOCRATIC
195,MD-08,Jamie Raskin,99.0,49.0,Jamie Raskin,14.0,SOLID_DEMOCRATIC
139,IL-04,Open seat,99.0,49.0,Open seat,33.0,SOLID_DEMOCRATIC
325,PA-02,Brendan Boyle,99.0,49.0,Brendan Boyle,25.0,SOLID_DEMOCRATIC
211,MI-14,Brenda Lawrence,99.0,49.0,Brenda Lawrence,30.0,SOLID_DEMOCRATIC
58,CA-38,Linda Sánchez,99.0,49.0,Linda Sánchez,17.0,SOLID_DEMOCRATIC
22,CA-02,Jared Huffman,99.0,49.0,Jared Huffman,22.0,SOLID_DEMOCRATIC
50,CA-30,Brad Sherman,99.0,49.0,Brad Sherman,18.0,SOLID_DEMOCRATIC
74,CO-01,Diana DeGette,99.0,49.0,Diana DeGette,21.0,SOLID_DEMOCRATIC
279,NY-09,Yvette D. Clarke,99.0,49.0,Yvette Clarke,34.0,SOLID_DEMOCRATIC
280,NY-10,Jerrold Nadler,99.0,49.0,Jerrold Nadler,26.0,SOLID_DEMOCRATIC
236,NC-04,David Price,99.0,49.0,David Price,16.0,SOLID_DEMOCRATIC
282,NY-12,Carolyn Maloney,99.0,49.0,Carolyn Maloney,31.0,SOLID_DEMOCRATIC
66,CA-46,J. Luis Correa,99.0,49.0,Lou Correa,15.0,SOLID_DEMOCRATIC
63,CA-43,Maxine Waters,99.0,49.0,Maxine Waters,29.0,SOLID_DEMOCRATIC
283,NY-13,Adriano Espaillat,99.0,49.0,Adriano Espaillat,43.0,SOLID_DEMOCRATIC
263,NJ-12,Bonnie Watson Coleman,99.0,49.0,Bonnie Watson Coleman,16.0,SOLID_DEMOCRATIC
220,MO-01,William “Lacy” Clay Jr.,99.0,49.0,Lacy Clay,29.0,SOLID_DEMOCRATIC
378,TX-18,Sheila Jackson Lee,99.0,49.0,Sheila Jackson Lee,27.0,SOLID_DEMOCRATIC
326,PA-03,Dwight Evans,99.0,49.0,Dwight Evans,41.0,SOLID_DEMOCRATIC
216,MN-05,Open seat,99.0,49.0,Open seat,26.0,SOLID_DEMOCRATIC
285,NY-15,José E. Serrano,99.0,49.0,José Serrano,44.0,SOLID_DEMOCRATIC
284,NY-14,Joseph Crowley,99.0,49.0,Open seat,29.0,SOLID_DEMOCRATIC
191,MD-04,Anthony Brown,99.0,49.0,Anthony Brown,28.0,SOLID_DEMOCRATIC
194,MD-07,Elijah Cummings,99.0,49.0,Elijah Cummings,26.0,SOLID_DEMOCRATIC
57,CA-37,Karen Bass,99.0,49.0,Karen Bass,37.0,SOLID_DEMOCRATIC
136,IL-01,Bobby L. Rush,99.0,49.0,Bobby Rush,27.0,SOLID_DEMOCRATIC
52,CA-32,Grace Napolitano,99.0,49.0,Grace Napolitano,17.0,SOLID_DEMOCRATIC
53,CA-33,Ted Lieu,99.0,49.0,Ted Lieu,16.0,SOLID_DEMOCRATIC
129,HI-02,Tulsi Gabbard,99.0,49.0,Tulsi Gabbard,19.0,SOLID_DEMOCRATIC
39,CA-19,Zoe Lofgren,99.0,49.0,Zoe Lofgren,24.0,SOLID_DEMOCRATIC
128,HI-01,Open seat,99.0,49.0,Open seat,17.0,SOLID_DEMOCRATIC
126,GA-13,David Scott,99.0,49.0,David Scott,20.0,SOLID_DEMOCRATIC
71,CA-51,Juan Vargas,99.0,49.0,Juan Vargas,22.0,SOLID_DEMOCRATIC
38,CA-18,Anna G. Eshoo,99.0,49.0,Anna Eshoo,23.0,SOLID_DEMOCRATIC
37,CA-17,Ro Khanna,99.0,49.0,Ro Khanna,25.0,SOLID_DEMOCRATIC
426,WI-04,Gwen Moore,99.0,49.0,Gwen Moore,25.0,SOLID_DEMOCRATIC
32,CA-12,Nancy Pelosi,99.0,49.0,Nancy Pelosi,37.0,SOLID_DEMOCRATIC
55,CA-35,Norma Torres,99.0,49.0,Norma Torres,19.0,SOLID_DEMOCRATIC
308,OH-11,Marcia L. Fudge,99.0,49.0,Marcia Fudge,32.0,SOLID_DEMOCRATIC
144,IL-09,Jan Schakowsky,99.0,49.0,Janice Schakowsky,18.0,SOLID_DEMOCRATIC
142,IL-07,Danny K. Davis,99.0,49.0,Danny Davis,38.0,SOLID_DEMOCRATIC
140,IL-05,Mike Quigley,99.0,49.0,Mike Quigley,20.0,SOLID_DEMOCRATIC
244,NC-12,Alma Adams,99.0,49.0,Alma Adams,18.0,SOLID_DEMOCRATIC
300,OH-03,Joyce Beatty,99.0,49.0,Joyce Beatty,19.0,SOLID_DEMOCRATIC
117,GA-04,Hank Johnson,99.0,49.0,Henry Johnson,24.0,SOLID_DEMOCRATIC
35,CA-15,Eric Swalwell,99.0,49.0,Eric Swalwell,20.0,SOLID_DEMOCRATIC
34,CA-14,Jackie Speier,99.0,49.0,Jackie Speier,27.0,SOLID_DEMOCRATIC
183,MA-05,Katherine Clark,99.0,49.0,Katherine Clark,18.0,SOLID_DEMOCRATIC
296,NY-26,Brian Higgins,99.0,49.0,Brian Higgins,11.0,SOLID_DEMOCRATIC
233,NC-01,G.K. Butterfield,99.0,49.0,George Butterfield,17.0,SOLID_DEMOCRATIC
256,NJ-05,Josh Gottheimer,99.02,49.019999999999996,Josh Gottheimer,-3.0,LIKELY_DEMOCRATIC
158,IN-05,Susan W. Brooks,0.93,49.07,Susan Brooks,-9.0,SOLID_REPUBLICAN
332,PA-09,Open seat,0.9,49.1,Open seat,-14.0,SOLID_REPUBLICAN
429,WI-07,Sean P. Duffy,0.89,49.11,Sean Duffy,-8.0,SOLID_REPUBLICAN
273,NY-03,Thomas Suozzi,99.14,49.14,Thomas Suozzi,1.0,SOLID_DEMOCRATIC
345,SC-02,Joe Wilson,0.85,49.15,Joe Wilson,-13.0,SOLID_REPUBLICAN
322,OR-04,Peter DeFazio,99.17,49.17,Peter DeFazio,0.0,SOLID_DEMOCRATIC
416,WA-04,Dan Newhouse,0.8,49.2,Dan Newhouse,-13.0,SOLID_REPUBLICAN
161,IN-08,Larry Bucshon,0.77,49.23,Larry Bucshon,-15.0,SOLID_REPUBLICAN
363,TX-03,Open seat,0.77,49.23,Open seat,-13.0,SOLID_REPUBLICAN
355,TN-04,Scott DesJarlais,0.76,49.24,Scott DesJarlais,-20.0,SOLID_REPUBLICAN
430,WI-08,Mike Gallagher,0.76,49.24,Mike Gallagher,-7.0,SOLID_REPUBLICAN
314,OK-01,Open seat,0.75,49.25,Open seat,-17.0,SOLID_REPUBLICAN
425,WI-03,Ron Kind,99.27,49.269999999999996,Ron Kind,0.0,SOLID_DEMOCRATIC
157,IN-04,Open seat,0.72,49.28,Open seat,-17.0,SOLID_REPUBLICAN
169,KY-03,John A. Yarmuth,99.35,49.349999999999994,John Yarmuth,6.0,SOLID_DEMOCRATIC
105,FL-19,Francis Rooney,0.64,49.36,Francis Rooney,-13.0,SOLID_REPUBLICAN
196,ME-01,Chellie Pingree,99.44,49.44,Chellie Pingree,8.0,SOLID_DEMOCRATIC
377,TX-17,Bill Flores,0.52,49.48,Bill Flores,-12.0,SOLID_REPUBLICAN
387,TX-27,Michael Cloud,0.48,49.52,Michael Cloud,-13.0,SOLID_REPUBLICAN
229,MS-02,Bennie G. Thompson,99.53,49.53,Bennie Thompson,14.0,SOLID_DEMOCRATIC
231,MS-04,Steven Palazzo,0.45,49.55,Steven Palazzo,-21.0,SOLID_REPUBLICAN
201,MI-04,John Moolenaar,0.44,49.56,John Moolenaar,-10.0,SOLID_REPUBLICAN
99,FL-13,Charlie Crist,99.6,49.599999999999994,Charlie Crist,2.0,SOLID_DEMOCRATIC
323,OR-05,Kurt Schrader,99.61,49.61,Kurt Schrader,0.0,SOLID_DEMOCRATIC
327,PA-04,Open seat,99.63,49.629999999999995,Open seat,7.0,SOLID_DEMOCRATIC
103,FL-17,Open seat,0.37,49.63,Open seat,-13.0,SOLID_REPUBLICAN
406,VA-06,Open seat,0.34,49.66,Open seat,-13.0,SOLID_REPUBLICAN
243,NC-11,Mark Meadows,0.34,49.66,Mark Meadows,-14.0,SOLID_REPUBLICAN
56,CA-36,Raul Ruiz,99.68,49.68000000000001,Raul Ruiz,2.0,SOLID_DEMOCRATIC
135,ID-02,Mike Simpson,0.31,49.69,Mike Simpson,-17.0,SOLID_REPUBLICAN
109,FL-23,Debbie Wasserman Schultz,99.69,49.69,Debbie Wasserman Schultz,11.0,SOLID_DEMOCRATIC
302,OH-05,Robert E. Latta,0.31,49.69,Robert Latta,-11.0,SOLID_REPUBLICAN
80,CO-07,Ed Perlmutter,99.69,49.69,Ed Perlmutter,6.0,SOLID_DEMOCRATIC
242,NC-10,Patrick T. McHenry,0.3,49.7,Patrick McHenry,-13.0,SOLID_REPUBLICAN
431,WV-01,David McKinley,0.3,49.7,David McKinley,-19.0,SOLID_REPUBLICAN
295,NY-25,Open seat,99.72,49.72,Vacant,8.0,LIKELY_DEMOCRATIC
230,MS-03,Open seat,0.27,49.73,Open seat,-13.0,SOLID_REPUBLICAN
156,IN-03,Jim Banks,0.26,49.74,Jim Banks,-18.0,SOLID_REPUBLICAN
320,OR-02,Greg Walden,0.26,49.74,Greg Walden,-11.0,SOLID_REPUBLICAN
207,MI-10,Paul Mitchell,0.24,49.76,Paul Mitchell,-13.0,SOLID_REPUBLICAN
36,CA-16,Jim Costa,99.77,49.769999999999996,Jim Costa,9.0,SOLID_DEMOCRATIC
224,MO-05,Emanuel Cleaver,99.78,49.78,Emanuel Cleaver,7.0,SOLID_DEMOCRATIC
75,CO-02,Open seat,99.78,49.78,Open seat,9.0,SOLID_DEMOCRATIC
114,GA-01,Buddy Carter,0.21,49.79,Buddy Carter,-9.0,SOLID_REPUBLICAN
202,MI-05,Daniel Kildee,99.79,49.790000000000006,Daniel Kildee,5.0,SOLID_DEMOCRATIC
176,LA-04,Mike Johnson,0.2,49.8,Mike Johnson,-13.0,SOLID_REPUBLICAN
16,AZ-05,Andy Biggs,0.2,49.8,Andy Biggs,-15.0,SOLID_REPUBLICAN
72,CA-52,Scott Peters,99.8,49.8,Scott Peters,6.0,SOLID_DEMOCRATIC
217,MN-06,Tom Emmer,0.19,49.81,Tom Emmer,-12.0,SOLID_REPUBLICAN
51,CA-31,Pete Aguilar,99.82,49.81999999999999,Pete Aguilar,8.0,SOLID_DEMOCRATIC
46,CA-26,Julia Brownley,99.82,49.81999999999999,Julia Brownley,7.0,SOLID_DEMOCRATIC
335,PA-12,Tom Marino,0.18,49.82,Tom Marino,-17.0,SOLID_REPUBLICAN
3,AL-03,Mike Rogers,0.18,49.82,Mike Rogers,-16.0,SOLID_REPUBLICAN
5,AL-05,Mo Brooks,0.18,49.82,Mo Brooks,-18.0,SOLID_REPUBLICAN
8,AR-01,Rick Crawford,0.16,49.84,Eric Crawford,-17.0,SOLID_REPUBLICAN
409,VA-09,Morgan Griffith,0.16,49.84,Morgan Griffith,-19.0,SOLID_REPUBLICAN
84,CT-04,Jim Himes,99.84,49.84,Jim Himes,7.0,SOLID_DEMOCRATIC
247,NE-01,Jeff Fortenberry,0.15,49.85,Jeff Fortenberry,-11.0,SOLID_REPUBLICAN
346,SC-03,Jeff Duncan,0.15,49.85,Jeff Duncan,-19.0,SOLID_REPUBLICAN
29,CA-09,Jerry McNerney,99.86,49.86,Jerry McNerney,8.0,SOLID_DEMOCRATIC
95,FL-09,Darren Soto,99.86,49.86,Darren Soto,5.0,SOLID_DEMOCRATIC
152,IL-17,Cheri Bustos,99.86,49.86,Cheri Bustos,2.0,SOLID_DEMOCRATIC
404,VA-04,A. Donald McEachin,99.86,49.86,Donald McEachin,10.0,SOLID_DEMOCRATIC
354,TN-03,Chuck Fleischmann,0.13,49.87,Charles Fleischmann,-18.0,SOLID_REPUBLICAN
11,AR-04,Bruce Westerman,0.13,49.87,Bruce Westerman,-17.0,SOLID_REPUBLICAN
23,CA-03,John Garamendi,99.87,49.870000000000005,John Garamendi,5.0,SOLID_DEMOCRATIC
413,WA-01,Suzan DelBene,99.87,49.870000000000005,Suzan DelBene,6.0,SOLID_DEMOCRATIC
274,NY-04,Kathleen Rice,99.87,49.870000000000005,Kathleen Rice,4.0,SOLID_DEMOCRATIC
40,CA-20,Jimmy Panetta,99.88,49.879999999999995,Jimmy Panetta,23.0,SOLID_DEMOCRATIC
108,FL-22,Ted Deutch,99.88,49.879999999999995,Ted Deutch,6.0,SOLID_DEMOCRATIC
414,WA-02,Rick Larsen,99.88,49.879999999999995,Rick Larsen,10.0,SOLID_DEMOCRATIC
168,KY-02,Brett S. Guthrie,0.12,49.88,Brett Guthrie,-19.0,SOLID_REPUBLICAN
386,TX-26,Michael Burgess,0.12,49.88,Michael Burgess,-18.0,SOLID_REPUBLICAN
60,CA-40,Lucille Roybal-Allard,99.89,49.89,Lucille Roybal-Allard,33.0,SOLID_DEMOCRATIC
143,IL-08,Raja Krishnamoorthi,99.89,49.89,Raja Krishnamoorthi,8.0,SOLID_DEMOCRATIC
115,GA-02,Sanford D. Bishop Jr.,99.89,49.89,Sanford Bishop,6.0,SOLID_DEMOCRATIC
159,IN-06,Open seat,0.11,49.89,Open seat,-18.0,SOLID_REPUBLICAN
43,CA-23,Kevin McCarthy,0.11,49.89,Kevin McCarthy,-14.0,SOLID_REPUBLICAN
181,MA-03,Open seat,99.9,49.900000000000006,Open seat,9.0,SOLID_DEMOCRATIC
375,TX-15,Vicente Gonzalez,99.9,49.900000000000006,Vicente Gonzalez,7.0,SOLID_DEMOCRATIC
422,WA-10,Denny Heck,99.9,49.900000000000006,Denny Heck,5.0,SOLID_DEMOCRATIC
145,IL-10,Bradley Schneider,99.91,49.91,Bradley Schneider,10.0,SOLID_DEMOCRATIC
175,LA-03,Clay Higgins,0.09,49.91,Clay Higgins,-20.0,SOLID_REPUBLICAN
10,AR-03,Steve Womack,0.08,49.92,Steve Womack,-19.0,SOLID_REPUBLICAN
365,TX-05,Open seat,0.08,49.92,Open seat,-16.0,SOLID_REPUBLICAN
338,PA-15,Glenn W. Thompson,0.08,49.92,Glenn Thompson,-20.0,SOLID_REPUBLICAN
223,MO-04,Vicky Hartzler,0.08,49.92,Vicky Hartzler,-17.0,SOLID_REPUBLICAN
177,LA-05,Ralph Abraham,0.07,49.93,Ralph Abraham,-15.0,SOLID_REPUBLICAN
228,MS-01,Trent Kelly,0.07,49.93,Trent Kelly,-16.0,SOLID_REPUBLICAN
97,FL-11,Daniel Webster,0.07,49.93,Daniel Webster,-15.0,SOLID_REPUBLICAN
82,CT-02,Joe Courtney,99.93,49.93000000000001,Joe Courtney,3.0,SOLID_DEMOCRATIC
418,WA-06,Derek Kilmer,99.93,49.93000000000001,Derek Kilmer,6.0,SOLID_DEMOCRATIC
124,GA-11,Barry Loudermilk,0.06,49.94,Barry Loudermilk,-17.0,SOLID_REPUBLICAN
380,TX-20,Joaquin Castro,99.94,49.94,Joaquin Castro,10.0,SOLID_DEMOCRATIC
146,IL-11,Bill Foster,99.94,49.94,Bill Foster,9.0,SOLID_DEMOCRATIC
170,KY-04,Thomas Massie,0.06,49.94,Thomas Massie,-18.0,SOLID_REPUBLICAN
305,OH-08,Warren Davidson,0.06,49.94,Warren Davidson,-17.0,SOLID_REPUBLICAN
225,MO-06,Sam Graves,0.06,49.94,Sam Graves,-16.0,SOLID_REPUBLICAN
15,AZ-04,Paul A. Gosar,0.06,49.94,Paul Gosar,-21.0,SOLID_REPUBLICAN
25,CA-05,Mike Thompson,99.95,49.95,Mike Thompson,21.0,SOLID_DEMOCRATIC
310,OH-13,Tim Ryan,99.95,49.95,Tim Ryan,7.0,SOLID_DEMOCRATIC
1,AL-01,Bradley Byrne,0.05,49.95,Bradley Byrne,-15.0,SOLID_REPUBLICAN
388,TX-28,Henry Cuellar,99.95,49.95,Henry Cuellar,9.0,SOLID_DEMOCRATIC
347,SC-04,Open seat,0.05,49.95,Open seat,-15.0,SOLID_REPUBLICAN
394,TX-34,Filemon Vela,99.95,49.95,Filemon Vela,10.0,SOLID_DEMOCRATIC
287,NY-17,Nita Lowey,99.95,49.95,Nita Lowey,7.0,SOLID_DEMOCRATIC
319,OR-01,Suzanne Bonamici,99.96,49.959999999999994,Suzanne Bonamici,9.0,SOLID_DEMOCRATIC
134,ID-01,Open seat,0.04,49.96,Open seat,-21.0,SOLID_REPUBLICAN
303,OH-06,Bill Johnson,0.04,49.96,Bill Johnson,-16.0,SOLID_REPUBLICAN
358,TN-07,Open seat,0.03,49.97,Open seat,-20.0,SOLID_REPUBLICAN
353,TN-02,Open seat,0.03,49.97,Open seat,-20.0,SOLID_REPUBLICAN
343,RI-02,Jim Langevin,99.97,49.97,Jim Langevin,6.0,SOLID_DEMOCRATIC
90,FL-04,John Rutherford,0.03,49.97,John Rutherford,-17.0,SOLID_REPUBLICAN
356,TN-05,Jim Cooper,99.97,49.97,Jim Cooper,7.0,SOLID_DEMOCRATIC
73,CA-53,Susan Davis,99.97,49.97,Susan Davis,14.0,SOLID_DEMOCRATIC
276,NY-06,Grace Meng,99.97,49.97,Grace Meng,16.0,SOLID_DEMOCRATIC
14,AZ-03,Raul Grijalva,99.97,49.97,Raúl Grijalva,13.0,SOLID_DEMOCRATIC
184,MA-06,Seth Moulton,99.97,49.97,Seth Moulton,6.0,SOLID_DEMOCRATIC
306,OH-09,Marcy Kaptur,99.97,49.97,Marcy Kaptur,14.0,SOLID_DEMOCRATIC
81,CT-01,John B. Larson,99.97,49.97,John Larson,12.0,SOLID_DEMOCRATIC
397,UT-01,Rob Bishop,0.03,49.97,Rob Bishop,-26.0,SOLID_REPUBLICAN
