state,district,name,party,q2_raised,self_fund,self_loan,spent,raised_ctd,coh,self_fund_ctd,transfer,candidate_id,committee_id,incumbant,party_ind,party_dem,party_rep
MA,03,Daniel Koh,(D),472,0,0,774,2940,1700,0,0,H8MA03072,C00654509,FALSE,FALSE,TRUE,FALSE
MA,03,Rufus Gifford,(D),384,0,70,599,1261,358,13,0,H8MA03171,C00660381,FALSE,FALSE,TRUE,FALSE
MA,03,Lori Trahan,(D),231,0,50,174,1034,812,0,0,H8MA03106,C00655647,FALSE,FALSE,TRUE,FALSE
MA,03,Barbara L'Italien,(D),152,0,0,214,631,339,0,0,H8MA03197,C00661173,FALSE,FALSE,TRUE,FALSE
MA,03,Juana Matias,(D),151,0,0,112,472,243,0,0,H8MA03122,C00657213,FALSE,FALSE,TRUE,FALSE
MA,03,Abhijit Das,(D),33,0,0,32,254,441,0,0,H8MA03130,C00657445,FALSE,FALSE,TRUE,FALSE
MA,03,Alexandra Chandler,(D),23,0,0,41,106,18,3,0,H8MA03163,C00660597,FALSE,FALSE,TRUE,FALSE
MA,03,Rick Green,(R),151,0,50,107,611,493,0,0,H8MA03114,C00657098,FALSE,FALSE,FALSE,TRUE
MA,07,Mike Capuano,(D-inc),675,0,0,363,1514,1465,0,0,H8MA08071,C00336388,TRUE,FALSE,TRUE,FALSE
MA,07,Ayanna Pressley,(D),360,0,0,270,724,347,0,0,H8MA07032,C00667741,FALSE,FALSE,TRUE,FALSE
MA,09,Bill Keating,(D-inc),202,0,0,71,932,1411,0,0,H0MA10082,C00479063,TRUE,FALSE,TRUE,FALSE
MA,09,Peter Tedeschi,(R),182,0,50,157,462,289,0,0,H8MA09046,C00658492,FALSE,FALSE,FALSE,TRUE
MD,01,Jesse Colvin,(D),241,0,0,385,691,188,0,0,H8MD01193,C00657650,FALSE,FALSE,TRUE,FALSE
MD,01,Andy Harris,(R-inc),253,0,0,129,1200,1389,0,0,H8MD01094,C00435974,TRUE,FALSE,FALSE,TRUE
ME,02,Jared Golden,(D),560,0,0,509,1090,357,1,31,H8ME02185,C00653816,FALSE,FALSE,TRUE,FALSE
ME,02,Bruce Poliquin,(R-inc),557,0,0,90,3040,2676,6,0,H4ME02234,C00518654,TRUE,FALSE,FALSE,TRUE
MI,01,Matt Morgan,(D),180,0,1,112,659,386,42,0,H8MI01149,C00636324,FALSE,FALSE,TRUE,FALSE
MI,01,Jack Bergman,(R-inc),235,0,0,61,943,480,0,0,H6MI01226,C00614214,TRUE,FALSE,FALSE,TRUE
MI,02,Robert Davidson,(D),182,13,0,48,403,323,21,0,H8MI02113,C00638254,FALSE,FALSE,TRUE,FALSE
MI,02,Bill Huizenga,(R-inc),480,0,0,228,1543,662,0,10,H0MI02094,C00459297,TRUE,FALSE,FALSE,TRUE
MI,06,George Franklin,(D),166,0,0,289,601,260,0,0,H8MI06163,C00656744,FALSE,FALSE,TRUE,FALSE
MI,06,Matt Longjohn,(D),134,15,0,173,563,261,62,0,H8MI06155,C00650689,FALSE,FALSE,TRUE,FALSE
MI,06,Fred Upton,(R-inc),685,0,0,138,2155,1661,0,0,H6MI04113,C00200584,TRUE,FALSE,FALSE,TRUE
MI,07,Gretchen Driskell,(D),405,0,0,130,1218,897,50,0,H6MI07223,C00572859,FALSE,FALSE,TRUE,FALSE
MI,07,Tim Walberg,(R-inc),304,0,0,121,1526,1154,0,0,H4MI07103,C00390724,TRUE,FALSE,FALSE,TRUE
MI,08,Elissa Slotkin,(D),1144,0,0,237,2315,2248,0,327,H8MI08102,C00650150,FALSE,FALSE,TRUE,FALSE
MI,08,Mike Bishop,(R-inc),585,0,0,202,2130,1688,0,0,H4MI08135,C00561001,TRUE,FALSE,FALSE,TRUE
MI,09,Andy Levin,(D),353,0,0,325,864,431,0,0,H8MI09118,C00662619,FALSE,FALSE,TRUE,FALSE
MI,09,Ellen Lipton,(D),251,0,290,323,742,625,10,0,H8MI09134,C00664599,FALSE,FALSE,TRUE,FALSE
MI,11,Tim Greimel,(D),262,0,0,199,815,456,0,0,H8MI11338,C00659318,FALSE,FALSE,TRUE,FALSE
MI,11,Suneel Gupta,(D),250,0,150,237,1176,800,5,0,H8MI11346,C00662213,FALSE,FALSE,TRUE,FALSE
MI,11,Haley Stevens,(D),166,0,0,388,999,340,0,0,H8MI11254,C00638650,FALSE,FALSE,TRUE,FALSE
MI,11,Fayrouz Saad,(D),121,0,0,95,628,314,7,0,H8MI11262,C00650804,FALSE,FALSE,TRUE,FALSE
MI,11,Klint Kesto,(R),166,0,0,262,46,20,0,0,H8MI11270,C00655548,FALSE,FALSE,FALSE,TRUE
MI,11,Lena Epstein,(R),142,0,0,518,628,658,0,0,H8MI11320,C00641498,FALSE,FALSE,FALSE,TRUE
MI,11,Mike Kowall,(R),112,0,0,108,186,138,0,0,H8MI11361,C00668475,FALSE,FALSE,FALSE,TRUE
MI,11,Rocky Raczkowski,(R),14,0,10,50,108,145,0,0,H8MI11288,C00657106,FALSE,FALSE,FALSE,TRUE
MI,11,Kerry Bentivolio,(R),7,0,2,8,31,0,0,0,H2MI11133,C00656033,FALSE,FALSE,FALSE,TRUE
MI,13,Shanelle Jackson,(D),NA,NA,NA,NA,NA,NA,NA,NA,H8MI13292,C00671560,FALSE,FALSE,TRUE,FALSE
MI,13,Rashida Tlaib,(D),297,0,0,534,859,219,0,0,H8MI13250,C00668608,FALSE,FALSE,TRUE,FALSE
MI,13,Bill Wild,(D),253,0,0,275,387,100,0,0,H8MI13276,C00670679,FALSE,FALSE,TRUE,FALSE
MI,13,Brenda Jones,(D),128,0,0,109,167,54,0,0,H8MI13243,C00668137,FALSE,FALSE,TRUE,FALSE
MI,13,Ian Conyers,(D),92,2,0,89,173,61,8,0,H8MI13284,C00662981,FALSE,FALSE,TRUE,FALSE
MI,13,Coleman Young,(D),9,0,6,12,9,6,0,0,H8MI13318,C00665869,FALSE,FALSE,TRUE,FALSE
MI,13,John Conyers III,(I),NA,NA,NA,NA,NA,NA,NA,NA,H8MI13235,C00667105,FALSE,TRUE,FALSE,FALSE
MN,01,Dan Feehan,(D),430,0,0,146,832,631,1,51,H8MN01279,C00649327,FALSE,FALSE,TRUE,FALSE
MN,01,Carla Nelson,(R),113,4,0,97,387,236,10,0,H6MN02131,C00575209,FALSE,FALSE,FALSE,TRUE
MN,01,Jim Hagedorn,(R),172,0,0,111,807,390,0,0,NA,NA,FALSE,FALSE,FALSE,TRUE
MN,02,Angie Craig,(D),1029,4,0,225,1766,1557,28,308,NA,NA,FALSE,FALSE,TRUE,FALSE
MN,02,Jason Lewis,(R-inc),539,0,0,135,1692,1288,0,122,H6MN02149,C00589234,TRUE,FALSE,FALSE,TRUE
MN,03,Dean Phillips,(D),658,4,0,434,2238,923,29,11,H8MN03143,C00640714,FALSE,FALSE,TRUE,FALSE
MN,03,Erik Paulsen,(R-inc),1055,0,0,246,3552,2810,0,117,H8MN03077,C00439661,TRUE,FALSE,FALSE,TRUE
MN,05,Ilhan Omar,(D),177,0,0,16,177,151,0,0,H8MN05239,C00680934,FALSE,FALSE,TRUE,FALSE
MN,05,Margaret Kelliher,(D),131,1,0,3,131,128,1,0,H8MN05221,C00680553,FALSE,FALSE,TRUE,FALSE
MN,05,Patricia Ray,(D),46,2,0,3,46,45,2,0,H8MN05247,C00681296,FALSE,FALSE,TRUE,FALSE
MN,05,Jamal Abdulahi,(D),8,0,0,6,8,13,0,0,H8MN05163,C00682351,FALSE,FALSE,TRUE,FALSE
MN,07,Collin Peterson,(D-inc),233,0,0,64,966,1212,0,0,H2MN07014,C00253187,TRUE,FALSE,TRUE,FALSE
MN,07,Dave Hughes,(R),44,0,0,34,95,29,0,0,H6MN07304,C00610071,FALSE,FALSE,FALSE,TRUE
MN,08,Joe Radinovich,(D),176,0,0,125,284,146,0,0,H8MN08068,C00671032,FALSE,FALSE,TRUE,FALSE
MN,08,Jason Metsa,(D),100,0,0,92,232,125,0,0,H8MN08084,C00672345,FALSE,FALSE,TRUE,FALSE
MN,08,Michelle Lee,(D),22,0,0,21,51,16,0,0,H8MN08076,C00671081,FALSE,FALSE,TRUE,FALSE
MN,08,Kirsten Kennedy,(D),7,0,0,5,7,3,0,0,H8MN08092,C00670927,FALSE,FALSE,TRUE,FALSE
MN,08,Pete Stauber,(R),305,0,0,183,831,414,0,0,H8MN08043,C00650697,FALSE,FALSE,FALSE,TRUE
MO,02,Cort VanOstran,(D),312,1,0,112,822,541,12,0,H8MO02208,C00650440,FALSE,FALSE,TRUE,FALSE
MO,02,Ann Wagner,(R-inc),211,0,0,213,2551,3388,0,0,H2MO02102,C00495846,TRUE,FALSE,FALSE,TRUE
MT,AL,Kathleen Williams,(D),571,0,0,248,786,462,0,0,H8MT01232,C00659177,FALSE,FALSE,TRUE,FALSE
MT,AL,Greg Gianforte,(R-inc),802,0,0,384,2019,1373,0,8,H8MT01182,C00631945,TRUE,FALSE,FALSE,TRUE
NC,02,Linda Coleman,(D),171,0,0,97,298,157,0,0,H8NC02110,C00658286,FALSE,FALSE,TRUE,FALSE
NC,02,George Holding,(R-inc),400,0,0,496,1794,253,0,18,H2NC13110,C00499236,TRUE,FALSE,FALSE,TRUE
NC,07,Lauren Horton,(D),100,0,0,79,343,101,0,0,H8NC07101,C00639773,FALSE,FALSE,TRUE,FALSE
NC,07,David Rouzer,(R-inc),235,0,0,88,1169,1379,0,0,H2NC07096,C00501643,TRUE,FALSE,FALSE,TRUE
NC,08,Frank McNeill,(D),118,0,0,242,359,70,0,0,H8NC08083,C00663849,FALSE,FALSE,TRUE,FALSE
NC,08,Richard Hudson,(R-inc),339,0,0,119,1712,1131,0,3,H2NC08185,C00504522,TRUE,FALSE,FALSE,TRUE
NC,09,Dan McCready,(D),828,1,0,344,2400,1804,39,50,H8NC09123,C00641381,FALSE,FALSE,TRUE,FALSE
NC,09,Mark Harris,(R),400,1,0,194,924,296,4,0,H8NC09131,C00649236,FALSE,FALSE,FALSE,TRUE
NC,13,Kathy Manning,(D),727,21,0,405,1860,1345,72,0,H8NC13067,C00662577,FALSE,FALSE,TRUE,FALSE
NC,13,Ted Budd,(R-inc),373,0,0,89,1152,779,0,0,H6NC13129,C00614776,TRUE,FALSE,FALSE,TRUE
ND,AL,Mac Schneider,(D),218,0,0,54,346,282,0,0,H8ND00112,C00673533,FALSE,FALSE,TRUE,FALSE
ND,AL,Kelly Armstrong,(R),381,0,200,410,738,407,2,0,H8ND00096,C00670547,FALSE,FALSE,FALSE,TRUE
NE,02,Kara Eastman,(D),461,0,0,276,778,258,5,0,H8NE02220,C00639310,FALSE,FALSE,TRUE,FALSE
NE,02,Don Bacon,(R-inc),483,0,0,192,1726,1067,2,132,H6NE02125,C00575167,TRUE,FALSE,FALSE,TRUE
NH,01,Maura Sullivan,(D),604,0,0,208,1477,1091,0,42,H8NH01186,C00658724,FALSE,FALSE,TRUE,FALSE
NH,01,Chris Pappas,(D),233,8,0,139,655,440,11,0,H8NH01210,C00660464,FALSE,FALSE,TRUE,FALSE
